stt,material,material_description,dvt,ton_dau_ky,nhap_trong_ky,xuat_tra_lai,chuyen_mdsd,xuat_sx,xuat_khac,ton_cuoi_ky,ghi_chu
1039,1000352393,外紙箱;;;920x920x50;;,EA,0.0,250.0,0.0,0.0,0.0,0.0,250.0,
1040,1000352797,連接片;儀表桿;前下;SPHC;120x45x4.0T;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1041,1000352798,連接管;儀表桿;□30.0x70.0x2.0Tx227.5L;一;;Q195;E,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
1042,1000352799,連接管;儀表桿;□30.0x70.0x2.0Tx104.0;二;;Q195;EP,EA,0.0,40.0,0.0,0.0,0.0,0.0,40.0,
1043,1000352800,護蓋;曲柄;外;ABS/PA757;銀灰色;;EP591;,EA,0.0,640.0,0.0,0.0,0.0,0.0,640.0,
1044,1000353965,"背墊;;PU;美國紅;278.2x307.3x65.5,南亞;PL50B",EA,0.0,9.0,0.0,0.0,9.0,0.0,0.0,
1045,1000354060,橡膠塊;止擋;;NBR橡膠;Q520-7-3 MATTE;;GT01;,EA,0.0,3431.0,0.0,0.0,969.0,0.0,2462.0,chênh lệch=40.00
1046,1000354396,保麗龍組;;;;;MS40CK-G3;,EA,0.0,250.0,0.0,0.0,0.0,0.0,250.0,
1047,1000355733,管端塞;基座;;TPU包覆射出;深灰色;Φ40xΦ80;FW232;,EA,0.0,116.0,0.0,0.0,96.0,0.0,20.0,
1048,1000355741,外紙箱;含印刷;;;;FW232,EA,0.0,3.0,0.0,0.0,0.0,0.0,3.0,thử khuôn/chưa nhập kho→tồn kho; tồn điều chỉnh (bù sản phẩm lỗi): delta=+3
1049,1000356050,固定片;移動輪;左;SPHC;143.8x56.1x40x4.0T;;EP591,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1050,1000356052,固定片;移動輪;右;SPHC;143.8x56.1x40x4.0T;;EP591,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
